,DR 8 horas,FLOW 8 horas,Rate Flow/DR
depot/pfile11,273448,2538337,928270
depot/pfile12,1573,964217,61297966
depot/pfile14,42129,2190220,5198842
depot/pfile15,816,489357,59970221
depot/pfile16,307340,3358388,1092727
depot/pfile17,2037,836968,41088267
depot/pfile18,81,173505,214203704
depot/pfile19,17302,783929,4530858
depot/pfile20,62,157827,254559677
depot/pfile21,19,43510,229000000
depot/pfile22,4,7225,180625000
depot/pfile5,2380269,8838869,371339
depot/pfile6,277026,2354782,850022
depot/pfile8,1095255,5944939,542790
depot/pfile9,230432,1554019,674394
pathways-noneg/p06pddl,2754518,3423786,124297
pathways-noneg/p07pddl,1120802,2438506,217568
pathways-noneg/p08pddl,665882,991842,148952
pathways-noneg/p09pddl,732272,1462360,199702
pathways-noneg/p10pddl,1056111,1821444,172467
pathways-noneg/p11pddl,1452716,2452140,168797
pathways-noneg/p12pddl,535272,856435,160000
pathways-noneg/p13pddl,290937,753555,259010
pathways-noneg/p14pddl,480773,1046768,217726
pathways-noneg/p15pddl,255545,828149,324072
pathways-noneg/p16pddl,200446,387516,193327
pathways-noneg/p17pddl,182320,218367,119771
pathways-noneg/p18pddl,217551,505433,232329
pathways-noneg/p19pddl,88828,220043,247718
pathways-noneg/p20pddl,240127,329955,137409
pathways-noneg/p21pddl,104098,290666,279223
pathways-noneg/p22pddl,115161,257565,223656
pathways-noneg/p23pddl,89296,248271,278031
pathways-noneg/p24pddl,125385,321092,256085
pathways-noneg/p25pddl,16457,100711,611965
pathways-noneg/p26pddl,28770,153401,533198
pathways-noneg/p27pddl,59821,118520,198124
pathways-noneg/p28pddl,17692,96050,542901
pathways-noneg/p29pddl,44778,201417,449812
pathways-noneg/p30pddl,49528,140655,283991
rovers/p09pddl,5376686,15492338,288139
rovers/p10pddl,2959288,9499739,321014
rovers/p11pddl,9403302,18633620,198160
rovers/p13pddl,2940048,8828346,300279
rovers/p14pddl,5120123,15104926,295011
rovers/p15pddl,3138436,8578505,273337
rovers/p16pddl,2920216,5934362,203217
rovers/p17pddl,966871,2561334,264910
rovers/p18pddl,413563,1169778,282854
rovers/p19pddl,161274,686482,425662
rovers/p20pddl,53815,277287,515260
rovers/p21pddl,92585,367997,397469
rovers/p22pddl,30213,284121,940393
rovers/p23pddl,12862,196850,1530477
rovers/p24pddl,51630,164080,317800
rovers/p25pddl,67647,359499,531434
rovers/p26pddl,75508,291360,385866
rovers/p27pddl,48867,225896,462267
rovers/p28pddl,7679,110089,1433637
rovers/p29pddl,16026,95287,594578
rovers/p30pddl,5995,53999,900734
rovers/p31pddl,5660,70799,1250866
rovers/p32pddl,1385,26132,1886787
rovers/p33pddl,452,21455,4746681
rovers/p34pddl,205,19849,9682439
rovers/p35pddl,25,9238,36952000
rovers/p36pddl,175,16696,9540571
rovers/p37pddl,27,4900,18148148
rovers/p38pddl,25,5078,20312000
rovers/p39pddl,4,4641,116025000
rovers/p40pddl,11,3389,30809091
satellite/p08-pfile8pddl,1113666,4140504,371790
satellite/p09-pfile9pddl,668007,2898187,433856
satellite/p10-pfile10pddl,456730,2089113,457407
satellite/p11-pfile11pddl,497905,1191319,239266
satellite/p12-pfile12pddl,80552,214198,265913
satellite/p13-pfile13pddl,40637,122730,302015
satellite/p14-pfile14pddl,57558,261919,455052
satellite/p15-pfile15pddl,9158,77640,847783
satellite/p16-pfile16pddl,2923,56185,1922169
satellite/p17-pfile17pddl,11535,42338,367039
satellite/p18-pfile18pddl,97724,411802,421393
satellite/p19-pfile19pddl,37180,214544,577041
satellite/p20-pfile20pddl,30008,189558,631692
satellite/p21-HC-pfile1pddl,30,18600,62000000
satellite/p22-HC-pfile2pddl,39,3451,8848718
satellite/p23-HC-pfile3pddl,23,876,3808696
satellite/p24-HC-pfile4pddl,0,271,
satellite/p25-HC-pfile5pddl,0,200,
satellite/p27-HC-pfile7pddl,11,150,1363636
satellite/p29-HC-pfile9pddl,0,0,
woodworking-opt08-strips/p09pddl,131376,960452,731071
woodworking-opt08-strips/p10pddl,49452,521395,1054346
woodworking-opt08-strips/p18pddl,104487,1265208,1210876
woodworking-opt08-strips/p19pddl,176892,1065630,602418
woodworking-opt08-strips/p20pddl,102326,704855,688833
woodworking-opt08-strips/p27pddl,488278,3197110,654772
woodworking-opt08-strips/p28pddl,238051,1574271,661317
woodworking-opt08-strips/p29pddl,158503,1246125,786184
woodworking-opt08-strips/p30pddl,67896,515061,758603
